ball_frame,ball_x,ball_y,ball_z,x,y,z
4340,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4342,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4344,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4346,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4348,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4350,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4352,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4354,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4356,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4358,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4360,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4362,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4364,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4366,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4368,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4369,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4371,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4373,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4375,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4377,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4379,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4381,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4383,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4385,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4387,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4389,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4391,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4393,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4395,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4397,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4398,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4400,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4402,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4404,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4406,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4408,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
